,year,biome,country_of_production,product_type,forest_500_beef,zero_deforestation_brazil_beef,state_of_production,municipality_of_production,logistics_hub,exporter,exporter_group,importer,importer_group,country_of_destination,economic_bloc,volume,fob,cattle_deforestation_5_year_total_exposure,co2_gross_emissions_cattle_deforestation_5_year_total_exposure,co2_net_emissions_cattle_deforestation_5_year_total_exposure,land_use,state_of_production_trase_id,municipality_of_production_trase_id,country_of_production_trase_id,country_of_destination_trase_id
5731334,2020,AMAZONIA,BRAZIL,BEEF BONELESS,4.0,G4,ACRE,BUJARI,UNKNOWN,MINERVA,MINERVA,HOI TAT TRADING,HOI TAT TRADING,CHINA (HONG KONG),CHINA (HONG KONG),0.9976814341467896,3328.609342995197,0.5551099499592738,334.75075461340793,314.3788978732778,16.014090861169333,BR-12,BR-1200138,BR,HK
5731432,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,DISTRIBUIDORA DE CARNES VALE DO MOGI IMP & EXP LTDA,DISTRIBUIDORA DE CARNES VALE DO MOGI IMP & EXP LTDA,FRIEND KONG,FRIEND KONG,CHINA (HONG KONG),CHINA (HONG KONG),0.9971990333079124,3326.999887427119,0.2592717486600572,155.59456068548687,146.07898834995277,17.976613141594857,BR-12,BR-1200450,BR,HK
5733991,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BUJARI,UNKNOWN,DISTRIBUIDORA DE CARNES VALE DO MOGI IMP & EXP LTDA,DISTRIBUIDORA DE CARNES VALE DO MOGI IMP & EXP LTDA,FRIEND KONG,FRIEND KONG,CHINA (HONG KONG),CHINA (HONG KONG),0.9851468422784244,3286.789621613538,0.5481357030437154,330.5450392987848,310.4291288969332,15.812894280560071,BR-12,BR-1200138,BR,HK
5738019,2020,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,FRIGORIFICO BETTER BEEF,FRIGORIFICO BETTER BEEF,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.9667539258303932,2642.2341189751446,0.8183571982154277,492.7624033779431,462.7298059704517,16.65615286281107,BR-12,BR-1200401,BR,HK
5740641,2020,AMAZONIA,BRAZIL,BEEF OFFALS,,NONE,ACRE,RIO BRANCO,UNKNOWN,ALIMENTOS ESTRELA,ALIMENTOS ESTRELA,BETTER YIELD GROUP LTD,BETTER YIELD GROUP LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.9550254105552316,2585.451678022057,0.8084290100350036,486.7842829683681,457.1160365793056,16.454082886101016,BR-12,BR-1200401,BR,HK
5741869,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,BRASILEIA,UNKNOWN,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,HOI TAT TRADING,HOI TAT TRADING,CHINA (HONG KONG),CHINA (HONG KONG),0.949568520845268,3168.0880711213545,1.0068275026522375,605.2176571439046,568.2665275511403,18.3368662752732,BR-12,BR-1200104,BR,HK
5742242,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENA MADUREIRA,UNKNOWN,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,ZANCHETTA INDUSTRIA DE ALIMENTOS LTDA,HOI TAT TRADING,HOI TAT TRADING,CHINA (HONG KONG),CHINA (HONG KONG),0.9480113718559036,3162.8928850659304,1.4437265181993555,868.6415845768348,815.6553329810647,17.545976219919787,BR-12,BR-1200500,BR,HK
5748725,2020,AMAZONIA,BRAZIL,BEEF OFFALS,3.0,NONE,ACRE,RIO BRANCO,UNKNOWN,MARFRIG GLOBAL FOODS,MARFRIG,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.9207591302094882,2492.685756780265,0.7794226037223317,469.31847889264384,440.7147282090341,15.86371093287786,BR-12,BR-1200401,BR,HK
5750005,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,SENADOR GUIOMARD,UNKNOWN,NATURAFRIG ALIMENTOS,NATURAFRIG ALIMENTOS,MANFUL POWER TRADING LTD,MANFUL POWER TRADING LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.915611201250682,3054.794741811006,0.2380589123251773,142.8642807090659,134.12724394337152,16.505820606739515,BR-12,BR-1200450,BR,HK
5751242,2020,AMAZONIA,BRAZIL,BEEF BONELESS,,NONE,ACRE,PORTO ACRE,UNKNOWN,FRIGORIFICO BETTER BEEF,FRIGORIFICO BETTER BEEF,EVER ALLIANCE INTERNATIONAL LTD,EVER ALLIANCE INTERNATIONAL LTD,CHINA (HONG KONG),CHINA (HONG KONG),0.9107982082662408,3038.736937318049,0.4742526270442316,286.2545867163552,268.8508723931621,12.568438428341675,BR-12,BR-1200807,BR,HK
